task,sample_index,sample_id,class_code,vertebral_formula,numeric_label,outer_fold
two_view_AB_vs_BA_100perclass,176,Y1267-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,188,Y360BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,191,52-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,194,41-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,198,35-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,5,G1116-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,6,G1293-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,11,123-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,13,G1264-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,19,973-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,22,104-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,33,121-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,38,112-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,41,G1081-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,44,86-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,47,672-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,50,G1193-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,53,G1158-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,58,G1252-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,77,97-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,82,43-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,83,39-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,86,G1056-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,88,G1043-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,94,G1048-AB,AB,T13L7,0,2
two_view_AB_vs_BA_100perclass,101,G1015-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,105,"Y829,830BA",BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,107,Y1142-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,116,Y1226-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,117,128-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,123,Y1056-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,139,Y593BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,142,Y508BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,153,Y1035-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,156,Y1348-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,158,G1092-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,159,G1223-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,163,Y871-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,172,130-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,182,33-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,184,46-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,187,Y335BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,192,Y363BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,195,0813BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,197,34-BA,BA,T14L6,1,2
two_view_AB_vs_BA_100perclass,1,957-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,3,924-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,4,120-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,20,G1006-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,23,G1120-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,26,71-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,31,743-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,40,105-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,60,G1074-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,62,G1036-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,63,G1201-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,64,129-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,66,118-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,71,G1241-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,72,96-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,73,G1083-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,75,G1283-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,79,G1260-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,85,37-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,99,48-AB,AB,T13L7,0,3
two_view_AB_vs_BA_100perclass,103,"Y981,2BA",BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,108,Y937-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,110,Y1072-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,114,Y1178-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,119,Y1129-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,121,"Y743,744BA",BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,130,Y520BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,132,Y333BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,134,Y1294-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,144,G1864-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,147,Y1395-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,160,Y1391-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,162,113-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,166,Y1141BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,168,99-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,169,Y1375-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,178,94-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,181,81-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,185,45-BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,193,Y454BA,BA,T14L6,1,3
two_view_AB_vs_BA_100perclass,2,G1072-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,12,G1207-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,16,988-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,17,G1133-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,24,84-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,29,G1155-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,36,79-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,37,860-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,48,G1137-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,55,103-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,57,G1242-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,65,G1030-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,67,G1093-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,68,G1274-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,70,G1288-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,76,G1115-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,80,G1049-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,91,55-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,95,G1016-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,96,G1037-AB,AB,T13L7,0,4
two_view_AB_vs_BA_100perclass,100,G1068-BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,102,Y590BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,113,"Y779,780BA",BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,115,G1266-BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,120,G1029-BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,128,Y1288-BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,133,Y514BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,136,G1045-BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,138,Y1318-BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,140,Y1185-BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,149,Y468BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,150,Y525BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,154,Y971BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,161,"Y783,4BA",BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,167,Y544BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,177,Y377BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,179,"Y987,8BA",BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,183,Y370BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,189,40-BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,190,Y461BA,BA,T14L6,1,4
two_view_AB_vs_BA_100perclass,0,982-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,7,G1067-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,14,907-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,21,127-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,27,63-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,32,115-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,34,910-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,43,G1184-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,46,G1291-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,59,G1151-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,61,G1200-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,69,G1220-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,74,931-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,78,G1099-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,81,G1039-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,89,G1052-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,90,30-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,92,G1031-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,93,G1038-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,98,59-AB,AB,T13L7,0,5
two_view_AB_vs_BA_100perclass,106,G1101-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,111,132-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,112,"Y899,900BA",BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,122,G1131-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,124,G1018-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,127,G1224-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,129,114-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,131,89-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,135,"Y865,6BA",BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,137,Y517BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,145,790-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,146,Y504BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,152,Y1397-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,155,102-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,164,"Y827,8BA",BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,174,Y1388-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,180,31-BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,186,Y339BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,196,Y395BA,BA,T14L6,1,5
two_view_AB_vs_BA_100perclass,199,Y365BA,BA,T14L6,1,5
